complex_id,protein,ligand,ca_cluster,ligand_pose_cluster,cif_path
NPF2.14_Q9CAR9__holo_alphafold3_seed349480129_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-349480129_sample-2/NPF2.14_Q9CAR9__holo_seed-349480129_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed349480129_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-349480129_sample-3/NPF2.14_Q9CAR9__holo_seed-349480129_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed349480129_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-349480129_sample-4/NPF2.14_Q9CAR9__holo_seed-349480129_sample-4_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed370347926_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-370347926_sample-0/NPF2.14_Q9CAR9__holo_seed-370347926_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed370347926_sample1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-370347926_sample-1/NPF2.14_Q9CAR9__holo_seed-370347926_sample-1_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed370347926_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-370347926_sample-2/NPF2.14_Q9CAR9__holo_seed-370347926_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed370347926_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-370347926_sample-3/NPF2.14_Q9CAR9__holo_seed-370347926_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed370347926_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-370347926_sample-4/NPF2.14_Q9CAR9__holo_seed-370347926_sample-4_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed580379143_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-580379143_sample-0/NPF2.14_Q9CAR9__holo_seed-580379143_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed580379143_sample1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-580379143_sample-1/NPF2.14_Q9CAR9__holo_seed-580379143_sample-1_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed580379143_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-580379143_sample-2/NPF2.14_Q9CAR9__holo_seed-580379143_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed580379143_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-580379143_sample-3/NPF2.14_Q9CAR9__holo_seed-580379143_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed580379143_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-580379143_sample-4/NPF2.14_Q9CAR9__holo_seed-580379143_sample-4_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed661940520_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-661940520_sample-0/NPF2.14_Q9CAR9__holo_seed-661940520_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed661940520_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-661940520_sample-2/NPF2.14_Q9CAR9__holo_seed-661940520_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed661940520_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-661940520_sample-3/NPF2.14_Q9CAR9__holo_seed-661940520_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed661940520_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-661940520_sample-4/NPF2.14_Q9CAR9__holo_seed-661940520_sample-4_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed793437030_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-793437030_sample-3/NPF2.14_Q9CAR9__holo_seed-793437030_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed797160099_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-797160099_sample-2/NPF2.14_Q9CAR9__holo_seed-797160099_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed797160099_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-797160099_sample-3/NPF2.14_Q9CAR9__holo_seed-797160099_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed84390169_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-84390169_sample-0/NPF2.14_Q9CAR9__holo_seed-84390169_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed84390169_sample1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-84390169_sample-1/NPF2.14_Q9CAR9__holo_seed-84390169_sample-1_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed84390169_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-84390169_sample-2/NPF2.14_Q9CAR9__holo_seed-84390169_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed84390169_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-84390169_sample-3/NPF2.14_Q9CAR9__holo_seed-84390169_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed918245921_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-918245921_sample-0/NPF2.14_Q9CAR9__holo_seed-918245921_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed918245921_sample1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-918245921_sample-1/NPF2.14_Q9CAR9__holo_seed-918245921_sample-1_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed918245921_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-918245921_sample-2/NPF2.14_Q9CAR9__holo_seed-918245921_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed918245921_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-918245921_sample-3/NPF2.14_Q9CAR9__holo_seed-918245921_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed918245921_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-918245921_sample-4/NPF2.14_Q9CAR9__holo_seed-918245921_sample-4_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed946226642_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-946226642_sample-0/NPF2.14_Q9CAR9__holo_seed-946226642_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed946226642_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-946226642_sample-4/NPF2.14_Q9CAR9__holo_seed-946226642_sample-4_model.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_sample_1_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/NPF2.14_Q9CAR9__holo_seed_1049892156_sample_1_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_sample_2_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/NPF2.14_Q9CAR9__holo_seed_1049892156_sample_2_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_sample_3_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/NPF2.14_Q9CAR9__holo_seed_1049892156_sample_3_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_sample_5_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/NPF2.14_Q9CAR9__holo_seed_1049892156_sample_5_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1199504987_NPF2.14_Q9CAR9__holo_seed_1199504987_NPF2.14_Q9CAR9__holo_seed_1199504987_sample_1_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1199504987/NPF2.14_Q9CAR9__holo/seed_1199504987/NPF2.14_Q9CAR9__holo_seed_1199504987_sample_1_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1276595817_NPF2.14_Q9CAR9__holo_seed_1276595817_NPF2.14_Q9CAR9__holo_seed_1276595817_sample_4_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1276595817/NPF2.14_Q9CAR9__holo/seed_1276595817/NPF2.14_Q9CAR9__holo_seed_1276595817_sample_4_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1622091222_NPF2.14_Q9CAR9__holo_seed_1622091222_NPF2.14_Q9CAR9__holo_seed_1622091222_sample_3_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1622091222/NPF2.14_Q9CAR9__holo/seed_1622091222/NPF2.14_Q9CAR9__holo_seed_1622091222_sample_3_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1622091222_NPF2.14_Q9CAR9__holo_seed_1622091222_NPF2.14_Q9CAR9__holo_seed_1622091222_sample_4_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1622091222/NPF2.14_Q9CAR9__holo/seed_1622091222/NPF2.14_Q9CAR9__holo_seed_1622091222_sample_4_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1697345766_NPF2.14_Q9CAR9__holo_seed_1697345766_NPF2.14_Q9CAR9__holo_seed_1697345766_sample_3_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1697345766/NPF2.14_Q9CAR9__holo/seed_1697345766/NPF2.14_Q9CAR9__holo_seed_1697345766_sample_3_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1777049606_NPF2.14_Q9CAR9__holo_seed_1777049606_NPF2.14_Q9CAR9__holo_seed_1777049606_sample_3_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1777049606/NPF2.14_Q9CAR9__holo/seed_1777049606/NPF2.14_Q9CAR9__holo_seed_1777049606_sample_3_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-1777049606_NPF2.14_Q9CAR9__holo_seed_1777049606_NPF2.14_Q9CAR9__holo_seed_1777049606_sample_4_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-1777049606/NPF2.14_Q9CAR9__holo/seed_1777049606/NPF2.14_Q9CAR9__holo_seed_1777049606_sample_4_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-267842521_NPF2.14_Q9CAR9__holo_seed_267842521_NPF2.14_Q9CAR9__holo_seed_267842521_sample_2_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-267842521/NPF2.14_Q9CAR9__holo/seed_267842521/NPF2.14_Q9CAR9__holo_seed_267842521_sample_2_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-349480129_NPF2.14_Q9CAR9__holo_seed_349480129_NPF2.14_Q9CAR9__holo_seed_349480129_sample_1_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-349480129/NPF2.14_Q9CAR9__holo/seed_349480129/NPF2.14_Q9CAR9__holo_seed_349480129_sample_1_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-349480129_NPF2.14_Q9CAR9__holo_seed_349480129_NPF2.14_Q9CAR9__holo_seed_349480129_sample_3_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-349480129/NPF2.14_Q9CAR9__holo/seed_349480129/NPF2.14_Q9CAR9__holo_seed_349480129_sample_3_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-349480129_NPF2.14_Q9CAR9__holo_seed_349480129_NPF2.14_Q9CAR9__holo_seed_349480129_sample_4_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-349480129/NPF2.14_Q9CAR9__holo/seed_349480129/NPF2.14_Q9CAR9__holo_seed_349480129_sample_4_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-370347926_NPF2.14_Q9CAR9__holo_seed_370347926_NPF2.14_Q9CAR9__holo_seed_370347926_sample_5_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-370347926/NPF2.14_Q9CAR9__holo/seed_370347926/NPF2.14_Q9CAR9__holo_seed_370347926_sample_5_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-661940520_NPF2.14_Q9CAR9__holo_seed_661940520_NPF2.14_Q9CAR9__holo_seed_661940520_sample_2_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-661940520/NPF2.14_Q9CAR9__holo/seed_661940520/NPF2.14_Q9CAR9__holo_seed_661940520_sample_2_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-661940520_NPF2.14_Q9CAR9__holo_seed_661940520_NPF2.14_Q9CAR9__holo_seed_661940520_sample_3_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-661940520/NPF2.14_Q9CAR9__holo/seed_661940520/NPF2.14_Q9CAR9__holo_seed_661940520_sample_3_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-793437030_NPF2.14_Q9CAR9__holo_seed_793437030_NPF2.14_Q9CAR9__holo_seed_793437030_sample_3_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-793437030/NPF2.14_Q9CAR9__holo/seed_793437030/NPF2.14_Q9CAR9__holo_seed_793437030_sample_3_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-793437030_NPF2.14_Q9CAR9__holo_seed_793437030_NPF2.14_Q9CAR9__holo_seed_793437030_sample_5_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-793437030/NPF2.14_Q9CAR9__holo/seed_793437030/NPF2.14_Q9CAR9__holo_seed_793437030_sample_5_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-84390169_NPF2.14_Q9CAR9__holo_seed_84390169_NPF2.14_Q9CAR9__holo_seed_84390169_sample_1_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-84390169/NPF2.14_Q9CAR9__holo/seed_84390169/NPF2.14_Q9CAR9__holo_seed_84390169_sample_1_model_fixed.cif
NPF2.14_Q9CAR9__holo_openfold3_openfold_NPF2.14_Q9CAR9__holo_openfold_results_seed-992167502_NPF2.14_Q9CAR9__holo_seed_992167502_NPF2.14_Q9CAR9__holo_seed_992167502_sample_1_model_fixed,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/openfold_NPF2.14_Q9CAR9__holo/openfold_results_seed-992167502/NPF2.14_Q9CAR9__holo/seed_992167502/NPF2.14_Q9CAR9__holo_seed_992167502_sample_1_model_fixed.cif
NPF2.14_Q9CAR9__holo_protenix_protenix_NPF2.14_Q9CAR9__holo_protenix_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_predictions_NPF2.14_Q9CAR9__holo_sample_0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/protenix_NPF2.14_Q9CAR9__holo/protenix_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/predictions/NPF2.14_Q9CAR9__holo_sample_0.cif
NPF2.14_Q9CAR9__holo_protenix_protenix_NPF2.14_Q9CAR9__holo_protenix_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_predictions_NPF2.14_Q9CAR9__holo_sample_1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/protenix_NPF2.14_Q9CAR9__holo/protenix_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/predictions/NPF2.14_Q9CAR9__holo_sample_1.cif
NPF2.14_Q9CAR9__holo_protenix_protenix_NPF2.14_Q9CAR9__holo_protenix_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_predictions_NPF2.14_Q9CAR9__holo_sample_2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/protenix_NPF2.14_Q9CAR9__holo/protenix_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/predictions/NPF2.14_Q9CAR9__holo_sample_2.cif
NPF2.14_Q9CAR9__holo_protenix_protenix_NPF2.14_Q9CAR9__holo_protenix_results_seed-1049892156_NPF2.14_Q9CAR9__holo_seed_1049892156_predictions_NPF2.14_Q9CAR9__holo_sample_3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/protenix_NPF2.14_Q9CAR9__holo/protenix_results_seed-1049892156/NPF2.14_Q9CAR9__holo/seed_1049892156/predictions/NPF2.14_Q9CAR9__holo_sample_3.cif
NPF2.14_Q9CAR9__holo_protenix_protenix_NPF2.14_Q9CAR9__holo_protenix_results_seed-1199504987_NPF2.14_Q9CAR9__holo_seed_1199504987_predictions_NPF2.14_Q9CAR9__holo_sample_0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/protenix_NPF2.14_Q9CAR9__holo/protenix_results_seed-1199504987/NPF2.14_Q9CAR9__holo/seed_1199504987/predictions/NPF2.14_Q9CAR9__holo_sample_0.cif
NPF2.14_Q9CAR9__holo_protenix_protenix_NPF2.14_Q9CAR9__holo_protenix_results_seed-1199504987_NPF2.14_Q9CAR9__holo_seed_1199504987_predictions_NPF2.14_Q9CAR9__holo_sample_1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/protenix_NPF2.14_Q9CAR9__holo/protenix_results_seed-1199504987/NPF2.14_Q9CAR9__holo/seed_1199504987/predictions/NPF2.14_Q9CAR9__holo_sample_1.cif
